extract_date,specimen_date,Number_tested,Number_confirmed,Number_hospitalized,Number_deaths
04/10/2020,02/26/2020,1,0,0,0
04/10/2020,02/27/2020,1,0,0,1
04/10/2020,02/28/2020,2,1,0,0
04/10/2020,02/29/2020,2,1,0,0
04/10/2020,03/01/2020,1,0,0,0
04/10/2020,03/02/2020,4,0,0,0
04/10/2020,03/03/2020,10,0,0,0
04/10/2020,03/04/2020,32,6,5,1
04/10/2020,03/05/2020,63,5,3,1
04/10/2020,03/06/2020,79,11,4,0
04/10/2020,03/07/2020,61,9,6,2
04/10/2020,03/08/2020,108,21,15,3
04/10/2020,03/09/2020,396,66,29,11
04/10/2020,03/10/2020,455,81,36,9
04/10/2020,03/11/2020,788,169,59,18
04/10/2020,03/12/2020,1561,379,82,18
04/10/2020,03/13/2020,2139,649,174,31
04/10/2020,03/14/2020,1667,664,207,46
04/10/2020,03/15/2020,2309,1054,269,66
04/10/2020,03/16/2020,4876,2175,450,89
04/10/2020,03/17/2020,5370,2451,488,102
04/10/2020,03/18/2020,6150,3002,602,114
04/10/2020,03/19/2020,7476,3678,731,164
04/10/2020,03/20/2020,7420,3884,818,173
04/10/2020,03/21/2020,4500,2507,695,161
04/10/2020,03/22/2020,4143,2454,758,166
04/10/2020,03/23/2020,5241,3337,1003,234
04/10/2020,03/24/2020,6644,4159,1146,287
04/10/2020,03/25/2020,6896,4509,1253,287
04/10/2020,03/26/2020,6583,4619,1406,325
04/10/2020,03/27/2020,6601,4652,1388,317
04/10/2020,03/28/2020,4164,3114,1188,295
04/10/2020,03/29/2020,4381,3151,1199,255
04/10/2020,03/30/2020,7662,5531,1569,380
04/10/2020,03/31/2020,6980,4870,1389,296
04/10/2020,04/01/2020,7282,4637,1252,243
04/10/2020,04/02/2020,8615,5139,1563,262
04/10/2020,04/03/2020,8454,4823,1509,245
04/10/2020,04/04/2020,5422,3156,1205,177
04/10/2020,04/05/2020,5469,3065,1132,123
04/10/2020,04/06/2020,8581,4774,1206,108
04/10/2020,04/07/2020,6199,3311,724,38
04/10/2020,04/08/2020,3673,1977,319,13
04/10/2020,04/09/2020,1535,758,18,0
04/10/2020,04/10/2020,34,16,0,0
04/11/2020,02/02/2020,2,0,0,0
04/11/2020,02/04/2020,1,0,0,0
04/11/2020,02/05/2020,1,0,0,0
04/11/2020,02/08/2020,1,0,0,0
04/11/2020,02/09/2020,1,0,0,0
04/11/2020,02/26/2020,1,0,0,0
04/11/2020,02/27/2020,1,0,0,1
04/11/2020,02/28/2020,2,1,0,0
04/11/2020,02/29/2020,2,1,0,0
04/11/2020,03/01/2020,1,0,0,0
04/11/2020,03/02/2020,4,0,0,0
04/11/2020,03/03/2020,10,0,0,0
04/11/2020,03/04/2020,32,6,5,1
04/11/2020,03/05/2020,63,5,3,1
04/11/2020,03/06/2020,79,11,4,0
04/11/2020,03/07/2020,61,9,6,2
04/11/2020,03/08/2020,108,21,15,3
04/11/2020,03/09/2020,396,66,29,11
04/11/2020,03/10/2020,455,81,36,9
04/11/2020,03/11/2020,788,169,59,19
04/11/2020,03/12/2020,1561,380,82,19
04/11/2020,03/13/2020,2139,653,175,32
04/11/2020,03/14/2020,1668,664,209,46
04/11/2020,03/15/2020,2309,1056,270,67
04/11/2020,03/16/2020,4877,2179,451,91
04/11/2020,03/17/2020,5370,2456,491,102
04/11/2020,03/18/2020,6153,3007,604,117
04/11/2020,03/19/2020,7481,3686,735,168
04/11/2020,03/20/2020,7430,3890,821,180
04/11/2020,03/21/2020,4501,2510,698,162
04/11/2020,03/22/2020,4157,2457,763,172
04/11/2020,03/23/2020,5265,3345,1007,241
04/11/2020,03/24/2020,6651,4161,1149,295
04/11/2020,03/25/2020,6909,4520,1265,294
04/11/2020,03/26/2020,6598,4637,1416,335
04/11/2020,03/27/2020,6619,4660,1390,328
04/11/2020,03/28/2020,4184,3132,1196,314
04/11/2020,03/29/2020,4391,3154,1208,265
04/11/2020,03/30/2020,7676,5539,1585,402
04/11/2020,03/31/2020,7003,4887,1402,321
04/11/2020,04/01/2020,7323,4658,1263,266
04/11/2020,04/02/2020,8666,5169,1579,289
04/11/2020,04/03/2020,8537,4871,1529,280
04/11/2020,04/04/2020,5459,3187,1211,209
04/11/2020,04/05/2020,5619,3140,1147,148
04/11/2020,04/06/2020,9289,5094,1324,151
04/11/2020,04/07/2020,7317,3927,1064,80
04/11/2020,04/08/2020,5331,2818,910,33
04/11/2020,04/09/2020,3455,1699,327,9
04/11/2020,04/10/2020,1205,470,13,1
04/11/2020,04/11/2020,14,1,0,0
04/12/2020,02/02/2020,2,0,0,0
04/12/2020,02/04/2020,1,0,0,0
04/12/2020,02/05/2020,1,0,0,0
04/12/2020,02/08/2020,1,0,0,0
04/12/2020,02/09/2020,1,0,0,0
04/12/2020,02/26/2020,1,0,0,0
04/12/2020,02/27/2020,1,0,0,1
04/12/2020,02/28/2020,2,1,0,0
04/12/2020,02/29/2020,2,1,0,0
04/12/2020,03/01/2020,1,0,0,0
04/12/2020,03/02/2020,4,0,0,0
04/12/2020,03/03/2020,10,0,0,0
04/12/2020,03/04/2020,32,6,5,1
04/12/2020,03/05/2020,63,5,3,1
04/12/2020,03/06/2020,79,11,4,1
04/12/2020,03/07/2020,61,9,6,2
04/12/2020,03/08/2020,108,21,15,3
04/12/2020,03/09/2020,396,66,29,11
04/12/2020,03/10/2020,455,81,36,9
04/12/2020,03/11/2020,788,170,59,19
04/12/2020,03/12/2020,1561,381,82,19
04/12/2020,03/13/2020,2139,654,176,32
04/12/2020,03/14/2020,1668,666,209,47
04/12/2020,03/15/2020,2309,1058,270,67
04/12/2020,03/16/2020,4877,2182,451,92
04/12/2020,03/17/2020,5370,2460,492,103
04/12/2020,03/18/2020,6153,3016,604,119
04/12/2020,03/19/2020,7481,3695,736,172
04/12/2020,03/20/2020,7429,3894,821,181
04/12/2020,03/21/2020,4502,2514,699,167
04/12/2020,03/22/2020,4158,2462,764,178
04/12/2020,03/23/2020,5265,3348,1008,242
04/12/2020,03/24/2020,6652,4164,1152,301
04/12/2020,03/25/2020,6911,4527,1266,303
04/12/2020,03/26/2020,6599,4642,1417,339
04/12/2020,03/27/2020,6625,4670,1393,341
04/12/2020,03/28/2020,4189,3139,1198,322
04/12/2020,03/29/2020,4392,3157,1209,270
04/12/2020,03/30/2020,7685,5557,1588,417
04/12/2020,03/31/2020,7004,4889,1407,336
04/12/2020,04/01/2020,7341,4682,1265,286
04/12/2020,04/02/2020,8729,5237,1583,306
04/12/2020,04/03/2020,8630,4943,1528,296
04/12/2020,04/04/2020,5565,3267,1215,230
04/12/2020,04/05/2020,5725,3237,1151,181
04/12/2020,04/06/2020,9816,5475,1334,186
04/12/2020,04/07/2020,8618,4570,1066,107
04/12/2020,04/08/2020,6460,3493,915,60
04/12/2020,04/09/2020,5024,2856,373,32
